id,name,address,city,province,region,lat,lng,baselineLevel,baselineSource,notes
BR-RN-024,Bagno 28 Nettuno Beach,"Lungomare Claudio Tintori 34/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0677881,12.5837586,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-023,Bagno Nettuno,"Lungomare Augusto Murri 2, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0678353,12.5833583,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-025,Spiaggia 29 Rimini,"Lungomare Augusto Murri 4, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0674345,12.5839557,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-026,Bagno 30 Marino,"Lungomare Augusto Murri 2/C, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0671748,12.5841754,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-027,La Dolce Vita 34 Rimini,"Lungomare Augusto Murri 6, 47900 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0662101,12.5850858,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-028,Adriatic Village - Beach 35,"Lungomare Augusto Murri 6/B, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0658508,12.5855376,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-029,Adriatic Village - Beach 36,"Lungomare Augusto Murri 8, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0656511,12.5857297,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-030,Adriatic Village - Beach 37,"Lungomare Augusto Murri 8/ A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0654179,12.5859644,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-031,Bagno 38 Marco,"Lungomare Augusto Murri 10A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0651409,12.5862333,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-032,Bagno 39 Carlo,"Lungomare Augusto Murri, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0648833,12.5864854,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-033,Bagno Matteo 40 Sud,"Lungomare Augusto Murri 12, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0646549,12.5867603,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-034,Bagno 41 Lucio,"Lungomare Augusto Murri 14, 47900 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0642499,12.5871086,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-035,Papaya Beach Bagno 42,"Lungomare Augusto Murri 16, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0640029,12.5874147,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-036,Bagno 43 - Bagno onda,"Lungomare Augusto Murri, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.06367,12.5877222,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-037,Bagno 44 Pino,"Lungomare Augusto Murri 18/a, 47900 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0634207,12.5879543,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-038,L'Altra Spiaggia 45,"Lungomare Augusto Murri 24, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.063128,12.5882439,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-039,Bagno 46 Rimini,"Lungomare Augusto Murri 20/A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0629261,12.5884017,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-040,Le Spiagge Rimini,"Lungomare Augusto Murri 32, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0625262,12.5883604,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-041,Bagno 48,"Lungomare Augusto Murri 24a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0623374,12.5890078,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-042,Bagno 50 - Le Spiagge Rimini,"Lungomare Augusto Murri 26/B, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0617875,12.5895358,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-043,Bagno 51,"Lungomare Augusto Murri, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0615217,12.5898063,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-044,Bagno 52 - Peppo Fantasy Beach,"Lungomare Augusto Murri, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0613658,12.5899673,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-045,Bagno 53 - Le Spiagge Rimini,"Lungomare Augusto Murri 30/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.061061,12.5903061,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-046,Bagno 54 - Le Spiagge Rimini,"Lungomare Augusto Murri 32, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0607795,12.5905723,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-047,Bagno 55 - Le Spiagge Rimini,"Lungomare Augusto Murri 36/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0604744,12.5908893,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-048,Bagno 56 Primo Sas Di Tacchi Gilberto E C.,"Lungomare Augusto Murri, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0601773,12.5911615,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-049,Bagno 57 - Le Spiagge Rimini,"Lungomare Augusto Murri 36/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0598978,12.5915472,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-050,Bagno 58 - Le Spiagge Rimini,"Lungomare Augusto Murri 38, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0597783,12.5915378,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-051,Bagno 60,"Lungomare Giuseppe di Vittorio 4, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0592394,12.5921107,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-052,Bagno 61,"Lungomare Giuseppe di Vittorio 6, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0590379,12.5923038,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-053,Bagno 62 - Le Spiagge Rimini,"Lungomare Giuseppe di Vittorio 6/a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0588121,12.5925101,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-054,Bagno 63 Vittorio,"Lungomare Giuseppe di Vittorio, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0581071,12.592817,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-055,Bagno Dario 64,"Lungomare Giuseppe di Vittorio, 47900 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0576457,12.5936851,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-056,Bagno 66 Rimini,"Lungomare Giuseppe di Vittorio, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.056995,12.5940306,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-057,Bagno 67,"Lungomare Giuseppe di Vittorio 16A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0559298,12.5953946,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-058,Bagno 70,"Lungomare Giuseppe di Vittorio 18A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0554122,12.5960113,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-059,Bagno 71 Amarcord,"Lungomare Giuseppe di Vittorio 18/b, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0552825,12.5968542,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-060,Bagno Claudio 72 Ondebeach,"Lungomare Giuseppe di Vittorio 20 A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0549375,12.5964485,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-061,Bagno 73 Riviera Ondebeach,"Lungomare Giuseppe di Vittorio 20/B, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0546599,12.5965333,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-062,Bagni 75 Bulli,"Lungomare Giuseppe di Vittorio 20/D, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0542106,12.5971669,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-063,Bagno 78 Sabbia d'Oro,"Lungomare Giuseppe di Vittorio 24, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0534266,12.5975675,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-064,Bagno 79 Giovanni,"Lungomare Giuseppe di Vittorio 24, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0531118,12.5984129,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-065,Spiaggia 80 Rimini,"Lungomare Giuseppe di Vittorio, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0527522,12.5988192,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-066,Bagno 81,"Lungomare Giuseppe di Vittorio 28, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0523448,12.5991412,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-067,Aloha Your Beach 83 - (Bagno 83),"Lungomare Giuseppe di Vittorio 30, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0519149,12.5995959,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-068,Bagno 84 Graziano Rimini | Luxury Beach & Suite,"Lungomare Giuseppe di Vittorio 30a, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0515314,12.5998555,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-069,Bagno 85 La Playa,"Lungomare Giuseppe di Vittorio 32, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0510882,12.6002415,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-070,Bagno 85A Luca e Dea,"Lungomare Giuseppe di Vittorio 32/b, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0508761,12.6007599,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-071,Bagno Gibo 85B,"Lungomare Giuseppe di Vittorio 34, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0506484,12.6010627,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-072,Bagno 86 Lailai Island,"Lungomare Giuseppe di Vittorio 34/A, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0501234,12.6014132,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-073,Bagno 86A Rimini Brand,"Lungomare Giuseppe di Vittorio 36a, 47921 Bellariva RN, Italia",Rimini,RN,Emilia-Romagna,44.049358,12.6019683,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Bellariva.
BR-RN-074,Bagno 87 Carlo,"47924 Bellariva RN, Italia",Rimini,RN,Emilia-Romagna,44.0489679,12.6027024,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Bellariva.
BR-RN-075,Bagno 88 Vittorio,"Lungomare Giuseppe di Vittorio 38b, 47921 Bellariva RN, Italia",Rimini,RN,Emilia-Romagna,44.0488435,12.602929,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Bellariva.
BR-RN-076,Bagno 89 Lele,"Lungomare Giuseppe di Vittorio 38C, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0486806,12.6032191,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-077,Spiaggia 90,"Lungomare Giuseppe di Vittorio 40/a, 47924 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0484736,12.6034589,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-078,Lido San Giuliano,"Viale Ortigara, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0755969,12.5672599,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-079,Bagno Riviera 1 di Rimini a Rivabella,"Viale Paolo Toscanelli 5\A, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0758409,12.5610058,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-080,Bagno Celli N. 6,"Viale Paolo Toscanelli 37, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0781752,12.5548464,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-081,Lazy Beach Bagno 7 Rivabella,"Viale Paolo Toscanelli 39a, 47921 Rivabella RN, Italia",Rimini,RN,Emilia-Romagna,44.0785791,12.5540347,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Rivabella.
BR-RN-082,Bagno 10 Vatikaki,"Viale Paolo Toscanelli, 47921 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0797193,12.5517577,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-083,Dolcevita 11 Beach Club & Restaurant,"Viale Paolo Toscanelli 59-63, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0797648,12.5511433,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-084,Bagno 16 Club del Sole,"Viale Paolo Toscanelli, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.080911,12.5495799,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-085,Kalima Beach Club - N. 17,"Viale Paolo Toscanelli 71, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0822847,12.5471436,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-086,Bagno 18 Golden Beach,"Viale Paolo Toscanelli 73, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0831595,12.5459646,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-087,Bagno 19 Bruno,"Viale Giuliano Dati, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.083726,12.5451256,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-088,Spiaggia Vistamare Viserba 19-20,"Viale Paolo Toscanelli 83, 47921 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0841698,12.5443891,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-089,Bagno Gastone 21,"Viale Giuliano Dati 1, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0843047,12.5443268,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-090,Bagno 22 Anna,"Viale Giuliano Dati 1/C, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0849374,12.5435144,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-091,Bagno Marinagrande Di Viserba,"Viale Giuliano Dati 19, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0861846,12.5417113,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-092,Bagno N°27 Marinagrande,"Viale Giuliano Dati 29, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0871534,12.5402153,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-093,Playa Tamarindo,"Viale Giuliano Dati 47/D, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0879287,12.5391162,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RN-094,Bagno 31 playa tamarindo,"Viale Giuliano Dati 93, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0883588,12.5385781,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-095,Bahia Rico's Spiagge 35/36 Viserba,"Viale Giuliano Dati 105A, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0898351,12.5362525,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-096,Bagno 37 Pietro,"Viale Giuliano Dati 111 a, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.0906944,12.5348672,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-097,Bagno 38 Egisto,"Viale Giuliano Dati 113H, 47922 Viserba RN, Italia",Rimini,RN,Emilia-Romagna,44.090781,12.5344033,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserba.
BR-RN-098,Spiaggia 39 Cigno,"Viale Porto Palos 3a, 47922 Viserbella RN, Italia",Rimini,RN,Emilia-Romagna,44.0919688,12.5335241,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserbella.
BR-RN-099,Bagno 40/42 Angelo,"Viale Porto Palos 3, 47922 Viserbella RN, Italia",Rimini,RN,Emilia-Romagna,44.0925443,12.5330774,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app. Locality hint: Viserbella.
BR-RN-100,Spiagge Salsedine 44-45,"Viale Porto Palos 31, 47922 Rimini RN, Italia",Rimini,RN,Emilia-Romagna,44.0942722,12.529427,2,PRED,lat/lng to be filled via geocoding script (Nominatim) before importing into app.
BR-RA-MIMA-001,Haiti .339,"Viale Xxvi Traversa 339, 48015 Cervia RA, Italia",Cervia,RA,Emilia-Romagna,44.2998741,12.3474269,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-002,Pineta .337B,"337/B Via XXV Traversa Pineta, 48015 Cervia RA, Italia",Cervia,RA,Emilia-Romagna,44.2992792,12.3474177,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-003,Pineta Family Village Beach .332,"Via XXIV 332/B, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2971122,12.3480596,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-004,Spiaggia Libera della Colonia,"Traversa XIX Pineta, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2945141,12.3484896,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-005,Colombina .320,"Via XIII Traversa, 48015 Cervia RA, Italia",Cervia,RA,Emilia-Romagna,44.2926286,12.3489433,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-006,Bagno Del Pino 318,"Traversa XVII Mare 312, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2919846,12.3488311,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-007,Bagno Dario,"Traversa XVI Pineta 315, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2911741,12.3490511,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-008,Bagno Del Pino 312,"XV Traversa, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2904867,12.3493389,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-009,Gabbiano .311,"Via XV Traversa Pineta 11, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2901202,12.3494962,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-010,King's Beach #310,"Lungomare MiMa 310, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.289922,12.3496961,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-011,Bagno Deanna 309,"Via XIII Traversa 309, 48015 Cervia RA, Italia",Cervia,RA,Emilia-Romagna,44.2896811,12.3495902,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-012,Targhini .308,"Lungomare MiMa 308, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2892484,12.3497028,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-013,Bagno Virtual Beach 299,"V. IX Traversa, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2862401,12.3503657,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-014,Premier Palm Beach .296,"Lungomare MiMa 296, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.285218,12.3510353,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
BR-RA-MIMA-015,Duenoveuno Beach .291,"Traversa VI, 48015 Milano Marittima RA, Italia",Milano Marittima,RA,Emilia-Romagna,44.2841147,12.3510359,2,PRED,lat/lng to be filled via overrides/geocoding pipeline.
